Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01450","Olives","2022","2022","t","7730.68","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2022","2022","t","541000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01323","Oranges","2022","2022","t","10611.25","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2022","2022","t","32883.72","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01329","Other citrus fruit, n.e.c.","2022","2022","t","21972.26","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01359.90","Other fruits, n.e.c.","2022","2022","t","61977.16","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2022","2022","t","4137.95","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01709.90","Other pulses n.e.c.","2022","2022","t","51525.81","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2022","2022","t","10.89","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01349.20","Other stone fruits","2022","2022","t","49164.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2022","2022","t","759490.58","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01345","Peaches and nectarines","2022","2022","t","101459","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01342.01","Pears","2022","2022","t","32000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01375","Pistachios, in shell","2022","2022","t","2793.21","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01346","Plums and sloes","2022","2022","t","55254.9","I","Imputed value",""
